tran_ratio_count_1D_90D,tran_ratio_count_1D_180D,tran_ratio_amount_10min_1D,tran_ratio_amount_1D_30D,tran_ratio_amount_1D_90D,tran_ratio_amount_1D_180D,isoddhr,Tran_avarage_amount_ratio,Label,transaction_id
0.01493,0.01365,0.09137,0.03116,0.00933,0.00845,1,0.227,0,293
0.01493,0.01361,0.59618,0.05126,0.01575,0.01422,1,2.51393,0,294
0.01866,0.01695,0.03997,0.05328,0.01647,0.01481,1,0.17556,0,295
0.0038,0.00338,1.0,0.02037,0.00622,0.00553,1,1.6487,0,296
0.00763,0.00673,0.09121,0.02276,0.0069,0.00608,1,0.16546,0,297
0.01141,0.01007,0.12551,0.02594,0.00788,0.00695,1,0.26036,0,298
0.01521,0.01338,0.54675,0.0555,0.01723,0.0152,1,2.50247,0,299
0.01908,0.01667,0.25473,0.07412,0.02309,0.02028,0,1.56437,0,300
0.01916,0.01661,0.1013,0.06156,0.01886,0.01648,1,0.5064,0,301
0.0229,0.01987,0.0531,0.06525,0.01989,0.01739,1,0.28031,0,302
0.01149,0.0099,0.57296,0.02317,0.00699,0.00605,1,1.05551,0,303
0.00769,0.00658,0.50483,0.02674,0.00814,0.00697,1,1.0761,0,304
0.01154,0.00984,0.10761,0.02987,0.00914,0.00781,1,0.25703,0,305
0.01154,0.0098,0.22011,0.02157,0.00657,0.00558,1,0.37626,0,306
0.00766,0.00651,0.85237,0.0313,0.00971,0.00826,1,2.17243,0,307
0.01149,0.00974,0.18293,0.03804,0.01188,0.01009,0,0.57063,0,308
0.01527,0.01294,0.33012,0.05574,0.01763,0.01499,1,1.53722,0,309
0.01901,0.01613,0.21865,0.07044,0.02246,0.01911,1,1.30306,0,310
0.00391,0.00322,1.0,0.00481,0.00145,0.00119,1,0.37209,0,311
0.00784,0.00641,0.49437,0.0095,0.00286,0.00235,1,0.36381,0,312
0.01186,0.00958,0.70896,0.0319,0.00985,0.00804,1,1.7926,0,313
0.01181,0.00955,0.34404,0.04251,0.01276,0.01042,1,1.131,0,314
0.01569,0.0127,0.3244,0.06166,0.01877,0.01534,1,1.57848,0,315
0.01563,0.01266,0.23536,0.07447,0.02259,0.01848,1,1.38576,0,316
0.01556,0.01262,0.12526,0.05878,0.01792,0.01467,1,0.58642,0,317
0.01946,0.01572,0.24659,0.07654,0.02369,0.01938,1,1.53232,0,318
0.02335,0.01881,0.1363,0.08756,0.0274,0.02237,1,0.98065,0,319
0.00392,0.00313,1.0,0.00374,0.00112,0.0009,1,0.29098,0,320
0.00781,0.00623,1.0,0.01603,0.00484,0.00391,1,0.97014,0,321
0.01167,0.00932,0.64101,0.0434,0.01337,0.0108,1,2.25185,0,322
0.01563,0.01238,0.45634,0.07827,0.02442,0.01969,1,2.94874,0,323
0.01172,0.00926,0.12488,0.07235,0.02247,0.01807,1,0.74215,0,324
0.01167,0.00923,0.18309,0.0558,0.01703,0.01371,1,0.82724,0,325
0.01167,0.0092,0.51605,0.03924,0.01219,0.00979,1,1.6735,0,326
0.00794,0.00612,0.4917,0.03907,0.0126,0.00989,1,1.61883,0,327
0.00794,0.0061,0.40015,0.03162,0.01033,0.00808,1,1.07988,0,328
0.012,0.00912,0.17713,0.03901,0.01285,0.0098,1,0.58093,0,329
0.00803,0.00606,0.73786,0.02624,0.00869,0.00659,0,1.63513,0,330
0.00403,0.00302,1.0,0.01912,0.00641,0.00478,0,1.61657,0,331
